filepath,question
cohorts/2022/week_2_data_ingestion/airflow/docs/1_concepts.md,Can you explain what a DAG is in Airflow and why it is important?
cohorts/2022/week_2_data_ingestion/airflow/docs/1_concepts.md,What role does the scheduler play in the Airflow architecture?
cohorts/2022/week_2_data_ingestion/airflow/docs/1_concepts.md,How does Airflow handle task dependencies within a DAG?
cohorts/2022/project.md,What is the main objective of the course project?
cohorts/2022/project.md,"How do I submit my project for Cohort #2, and what is the deadline?"
cohorts/2022/project.md,Can you explain the peer review process and its importance for completing the project?
06-streaming/python/avro_example/settings.py,What is the purpose of the INPUT_DATA_PATH variable in the code snippet?
06-streaming/python/avro_example/settings.py,How do the key and value schemas work with Kafka in this context?
06-streaming/python/avro_example/settings.py,Can you explain how to configure the Schema Registry URL for a different environment?
cohorts/2025/README.md,What are the prerequisites for the Data Engineering Zoomcamp course?
cohorts/2025/README.md,Can you explain the difference between batch processing and stream processing covered in the course?
cohorts/2025/README.md,Is there a recording available for the pre-launch Q&A stream for the Data Engineering Zoomcamp 2025 Cohort?
06-streaming/pyflink/src/producers/producer.py,How can I modify the Kafka producer script to send messages at a different rate?
06-streaming/pyflink/src/producers/producer.py,What specific role does the json_serializer function play in the Kafka producer script?
06-streaming/pyflink/src/producers/producer.py,Can you explain how the producer.flush() method works in this script and why it's important?
cohorts/2022/week_2_data_ingestion/README.md,Can you explain the difference between ELT and ETL in the context of data ingestion?
cohorts/2022/week_2_data_ingestion/README.md,What are some alternatives to using S3 or HDFS for setting up a Data Lake?
cohorts/2022/week_2_data_ingestion/README.md,How do I set up Airflow locally using Docker-Compose?
cohorts/2022/week_6_stream_processing/homework.md,What topics will be covered in the Week 6 homework for the data engineering course?
cohorts/2022/week_6_stream_processing/homework.md,Is the last question of the Week 6 homework counted towards the overall score?
cohorts/2022/week_6_stream_processing/homework.md,When is the deadline for submitting the Week 6 homework?
cohorts/2022/week_2_data_ingestion/transfer_service/README.md,How do I generate an AWS Access Key and what important details should I keep in mind?
cohorts/2022/week_2_data_ingestion/transfer_service/README.md,Can you explain the process of using the Transfer service in Google Cloud?
cohorts/2022/week_2_data_ingestion/transfer_service/README.md,What should I do if I lose my AWS Access Key secret after it has been generated?
06-streaming/java/kafka_examples/src/main/java/org/example/AvroProducer.java,What external libraries does the AvroProducer class depend on for its functionality?
06-streaming/java/kafka_examples/src/main/java/org/example/AvroProducer.java,Can you explain the purpose of the getRides() method in the AvroProducer class?
06-streaming/java/kafka_examples/src/main/java/org/example/AvroProducer.java,How does the publishRides() method handle errors while sending RideRecord objects to Kafka?
06-streaming/python/json_example/producer.py,How does the JsonProducer class handle reading ride records from the CSV file?
06-streaming/python/json_example/producer.py,What libraries does the script use to interact with Kafka and handle data formats?
06-streaming/python/json_example/producer.py,What error handling is implemented when publishing rides to the Kafka topic in the publish_rides method?
06-streaming/python/redpanda_example/producer.py,What is the purpose of the `JsonProducer` class in this script?
06-streaming/python/redpanda_example/producer.py,How does the `publish_rides` method handle errors during the message sending process?
06-streaming/python/redpanda_example/producer.py,Can you explain the role of configuration settings in establishing the Kafka producer?
cohorts/2025/workshops/dlt/dlt_homework.md,What is the dlt installation command I need to run for using DuckDB?
cohorts/2025/workshops/dlt/dlt_homework.md,How do I check the version of dlt after installation?
cohorts/2025/workshops/dlt/dlt_homework.md,What is the process to extract data from the NYC Taxi API using dlt and how can I know how many tables were created in DuckDB?
01-docker-terraform/1_terraform_gcp/2_gcp_overview.md,Can you explain the different infrastructure modules available in GCP?
01-docker-terraform/1_terraform_gcp/2_gcp_overview.md,What steps do I need to follow to set up my GCP project for this course?
01-docker-terraform/1_terraform_gcp/2_gcp_overview.md,What roles do I need to assign to my service account in GCP for this course?
06-streaming/python/json_example/settings.py,What is the purpose of the INPUT_DATA_PATH constant in the code?
06-streaming/python/json_example/settings.py,Can you explain how Kafka is configured in this code snippet?
06-streaming/python/json_example/settings.py,How does this code set the groundwork for reading and processing ride data from a CSV file?
05-batch/code/07_groupby_join.ipynb,What is the purpose of setting up a Spark session in the ETL process?
05-batch/code/07_groupby_join.ipynb,How do I perform an outer join on the green and yellow taxi revenue DataFrames?
05-batch/code/07_groupby_join.ipynb,Can you explain how to read Parquet files using Apache Spark and why Parquet is recommended for such tasks?
06-streaming/python/streams-example/redpanda/streaming-notebook.ipynb,What are the necessary packages to install for setting up Spark with Kafka integration?
06-streaming/python/streams-example/redpanda/streaming-notebook.ipynb,How do I define a schema for ride data in a Spark Structured Streaming application?
06-streaming/python/streams-example/redpanda/streaming-notebook.ipynb,"Can you explain the difference between the Complete, Append, and Update output modes in Spark Streaming?"
05-batch/code/06_spark_sql.ipynb,How do I set up the PySpark environment for analyzing taxi data?
05-batch/code/06_spark_sql.ipynb,What are the steps to load green and yellow taxi data using PySpark?
05-batch/code/06_spark_sql.ipynb,Can you explain how to perform a revenue analysis using SQL queries on the combined taxi datasets?
cohorts/2024/workshops/dlt_resources/data_ingestion_workshop.md,What is the purpose of data ingestion in a data engineering pipeline?
cohorts/2024/workshops/dlt_resources/data_ingestion_workshop.md,How can I effectively extract data from a RESTful API considering potential rate limits?
cohorts/2024/workshops/dlt_resources/data_ingestion_workshop.md,Could you explain the difference between normalizing data and filtering data in the context of data cleaning?
